"","m","b","A"
"SOW__S105.SOW__22.05",0,0,0
"SOW__S105.SOW__21.8",0,0,0
"SOW__S105.SOW__21.6",0,0,0
"SOW__S105.SOW__21.2",0,0,0
"SOW__S106.SOW__21.2",0,0,0
"SOW__S106.SOW__20.7",0,0,0
"SOW__S106.SOW__20.41",0,0,0
"SOW__S106.SOW__20.2",0,0,0
"SOW__S106.SOW__19.65",0,0,0
"SOW__S106.SOW__19.3",0,0,0
"SOW__S106.SOW__19.11",0,0,0
"SOW__S106.SOW__18.7",0,0,0
"SOW__S106.SOW__18.45",0,0,0
"SOW__S106.SOW__18.2",0,0,0
"SOW__S106.SOW__18.1",0,0,0
"SOW__S106.SOW__18",0,0,0
"SOW__S107.SOW__17.8",0,0,0
"SOW__S107.SOW__17.65",0,0,0
"SOW__S107.SOW__17.56",0,0,0
"SOW__S301.SOW__17.54",0,0,0
"SOW__S107.SOW__17.52",0,0,0
"SOW__S107.SOW__17.5",0,0,0
"SOW__S301.SOW__17.26",0,0,0
"SOW__S301.SOW__17",0,0,0
"SOW__S301.SOW__16.8",0,0,0
"SOW__S301.SOW__16.65",0,1,5.5
"SOW__S301.SOW__16.55",-0.26530612244898,2.1530612244898,8.11538461538461
"SOW__S301.SOW__16.3",-3.60878850751607e-17,1,15
"SOW__S303.SOW__16.3",0,0,0
"SOW__S303.SOW__16.15",0,0,0
"SOW__S303.SOW__16.13",0,0,0
"SOW__S303.SOW__16.1",0,0.999999999999999,10.5
"SOW__S303.SOW__15.8",0,0,0
"SOW__S303.SOW__15.56",0,0,0
"SOW__S303.SOW__15.4",0,0.999999999999999,10.5
"SOW__S303.SOW__15.3",-3.60878850751607e-17,1,15
"SOW__S303.SOW__15.1",0,1,20
"SOW__S303.SOW__14.75",-0.0238726790450929,1.31299734748011,25
"SOW__S303.SOW__14.6",-0.0238726790450929,1.31299734748011,25
"SOW__S303.SOW__14.5",-0.0165569143932267,1.27300094073377,30
"SOW__S304.SOW__14.5",-0.0165569143932267,1.27300094073377,30
"SOW__S304.SOW__13.4",-0.0547219770520741,3.19329214474846,20
"SOW__S304.SOW__12.79",-0.217127699886321,6.08488063660477,28.0244328097731
"SOW__S304.SOW__12.5",-0.179613489958318,6.16445623342175,34.3206751054852
"BSSK__S307.BSSK__12.2",-0.0165569143932267,1.27300094073377,30
"SOW__S304.SOW__12.2",-0.262599469496021,7.44297082228117,28.3434343434343
"SOW__S304.SOW__12.1",-0.312618416066692,8.3368700265252,26.6678787878788
"SOW__S304.SOW__12",-0.312618416066692,8.3368700265252,26.6678787878788
"SOW__S304.SOW__11.8",-0.38423645320197,9.27586206896551,24.1410256410256
"BSSK__S307.BSSK__11.75",-0.0950141110065851,3.37347130761994,35.5049504950495
"BSSK__S307.BSSK__11.59",-0.100459002712289,3.78541623200501,37.681204569055
"BSSK__S307.BSSK__11.5",-0.135823075318172,4.50271228875443,33.1513056835637
"SOW__S304.SOW__11.48",-0.370555032925682,9.95653809971778,26.8692561563849
"SOW__S304.SOW__11.2",-0.361712135465663,9.98118532455315,27.594278283485
"BSSK__S307.BSSK__10.9",-0.129668266221573,5.63008554141456,43.419147224457
"SOW__S304.SOW__10.9",-0.369238005644403,9.83254938852305,26.6292993630573
"BSSK__S307.BSSK__10.8",-0.166388483204673,6.46338410181515,38.8451410658307
"LwKo__S107.LwK__10.74",0,0,0
"BSSK__S307.BSSK__10.7",-0.169303698122685,6.71849689207007,39.6831077322455
"LwKo__S107.LwK__10.698",0,0,0
"LwKo__S107.LwK__10.655",0,0,0
"BSSK__S307.BSSK__10.6",-0.177874050354744,6.9286117912978,38.9523473349806
"LwKo__S107.LwK__10.57",0,0,0
"BSSK__S307.BSSK__10.54",-0.177874050354744,6.9286117912978,38.9523473349806
"BSSK__S309.BSSK__10.54",-1.49929253349114e-17,1,25
"Lwk__S202.Lwk__10.5",0,0,0
"SOW__S304.SOW__10.28",-0.378080903104421,10.8079021636877,28.5862154764867
"Lwk__S202.Lwk__10.27",0,0,0
"Lwk__S202.Lwk__10.1",0,0,0
"Lwk__S202.Lwk__10.05",0,0,0
"SOW__S304.SOW__10.05",-0.392568203198495,11.1717779868297,28.4581835609873
"BSSK__S309.BSSK__10",-0.0379523389232127,1.37599293909973,20
"Lwk__S202.Lwk__9.9",0,0,0
"BSSK__S309.BSSK__9.85",-0.0549450549450549,1.80769230769231,32.9
"SOW__S304.SOW__9.85",-0.392568203198495,11.1717779868297,28.4581835609873
"BSSK__S309.BSSK__9.75",-0.0788177339901478,2.12068965517241,26.90625
"BSSK__S309.BSSK__9.5",-0.199470432480141,3.51103265666372,17.6017699115044
"Lwk__S202.Lwk__9.5",0,0,0
"Lwk__S203.Lwk__9.5",0,0.779620853080569,15
"Lwk__S203.Lwk__9.37",0,0.824644549763034,15
"BSSK__S309.BSSK__9.2",-0.234179613489958,5.09416445623342,21.7532362459547
"Lwk__S203.Lwk__9.2",0,0.824644549763034,15
"SOW__S304.SOW__9.1",-0.395994158147298,11.8727310661381,29.9820864067439
"SOW__S305.SOW__8.95",-0.309595484477893,7.36048918156162,23.7745366150106
"BSSK__S309.BSSK__8.8",-0.230011367942402,5.93633952254642,25.8088962108731
"SOW__S305.SOW__8.75",-0.376952022577611,9.13019755409219,24.2211130521587
"BSSK__S309.BSSK__8.7",-0.193255020841228,5.77188328912467,29.8666666666667
"Lwk__S203.Lwk__8.7",-0.0977643046608563,3.01989389920424,30.8895348837209
"BSSK__S309.BSSK__8.6",-0.193255020841228,5.77188328912467,29.8666666666667
"BSSK__S310.BSSK__8.6",-0.241764871495797,8.80505168322407,36.4198968557644
"SOW__S305.SOW__8.29",-0.419570206551221,12.3509284373044,29.4370959721532
"Lwk__S203.Lwk__8.1",-0.135405800125182,4.19778844147715,31.0015408320493
"SOW__S305.SOW__8.1",-0.385249321927811,12.6459419987482,32.825345247766
"BSSK__S310.BSSK__8.025",0,0,0
"SOW__S305.SOW__7.9",-0.35468391404131,12.6852701856875,35.765
